Group,N,Mean,Best,Worst,StdDev
Baseline,1,10.3813,10.3813,10.3813,0.0
A,6,8.5066,10.4972,-0.9148,4.2143
B,7,9.0757,10.5012,1.6395,3.0386
C,7,0.4807,2.2213,-0.1766,0.813
D,4,10.4515,10.5622,10.3153,0.0946
