Method,Achievements/collect_coal,Achievements/collect_diamond,Achievements/collect_drink,Achievements/collect_iron,Achievements/collect_sapling,Achievements/collect_stone,Achievements/collect_wood,Achievements/defeat_skeleton,Achievements/defeat_zombie,Achievements/eat_cow,Achievements/eat_plant,Achievements/make_iron_pickaxe,Achievements/make_iron_sword,Achievements/make_stone_pickaxe,Achievements/make_stone_sword,Achievements/make_wood_pickaxe,Achievements/make_wood_sword,Achievements/place_furnace,Achievements/place_plant,Achievements/place_stone,Achievements/place_table,Achievements/wake_up
pretrained,0.5822,0.002,0.4767,0.3955,0.8012,0.9341,0.999,0.286,0.6501,0.4371,0.0,0.0446,0.1886,0.7748,0.8174,0.9686,0.8753,0.8895,0.3611,0.7799,0.9848,0.0892
kl_penalty,0.551,0.0,0.49,0.393,0.797,0.946,0.996,0.26,0.639,0.42,0.0,0.037,0.189,0.769,0.827,0.968,0.87,0.883,0.328,0.792,0.983,0.074
